player_name,position_abbreviation,rank,team
DJ Moore,WR,1,CHI
Olamide Zaccheaus,WR,4,CHI
Tyler Scott,WR,7,CHI
John Jackson III,WR,10,CHI
Rome Odunze,WR,2,CHI
Devin Duvernay,WR,5,CHI
Maurice Alexander,WR,8,CHI
JP Richardson,WR,11,CHI
Luther Burden III,WR,3,CHI
Miles Boykin,WR,6,CHI
Samori Toure,WR,9,CHI
Jahdae Walker,WR,12,CHI
Braxton Jones,LT,1,CHI
Ozzy Trapilo,LT,2,CHI
Joshua Miles,LT,3,CHI
Joe Thuney,LG,1,CHI
Luke Newman,LG,2,CHI
Bill Murray,LG,3,CHI
Drew Dalman,C,1,CHI
Doug Kramer Jr.,C,2,CHI
Ricky Stromberg,C,3,CHI
Jonah Jackson,RG,1,CHI
Ryan Bates,RG,2,CHI
Jordan McFadden,RG,3,CHI
Chris Glaser,RG,4,CHI
Darnell Wright,RT,1,CHI
Kiran Amegadjie,RT,2,CHI
Theo Benedet,RT,3,CHI
Caleb Williams,QB,1,CHI
Tyson Bagent,QB,2,CHI
Case Keenum,QB,3,CHI
Austin Reed,QB,4,CHI
Cole Kmet,TE,1,CHI
Colston Loveland,TE,2,CHI
Durham Smythe,TE,3,CHI
Stephen Carlson,TE,4,CHI
Joel Wilson,TE,5,CHI
Unknown,TE,6,CHI
D'Andre Swift,RB,1,CHI
Roschon Johnson,RB,2,CHI
Kyle Monangai,RB,3,CHI
Travis Homer,RB,4,CHI
Ian Wheeler,RB,5,CHI
Deion Hankins,RB,6,CHI
Ja'Marr Chase,WR,1,CIN
Jermaine Burton,WR,4,CIN
Kendric Pryor,WR,7,CIN
Rashod Owens,WR,10,CIN
Tee Higgins,WR,2,CIN
Charlie Jones,WR,5,CIN
Cole Burgess,WR,8,CIN
Jordan Moore,WR,11,CIN
Andrei Iosivas,WR,3,CIN
Isaiah Williams,WR,6,CIN
Mitchell Tinsley,WR,9,CIN
Jamoi Mayes,WR,12,CIN
Orlando Brown Jr.,LT,1,CIN
Devin Cochran,LT,2,CIN
Andrew Coker,LT,3,CIN
Dylan Fairchild,LG,1,CIN
Cordell Volson,LG,2,CIN
Jaxson Kirkland,LG,3,CIN
Ted Karras,C,1,CIN
Matt Lee,C,2,CIN
Andrew Raym,C,3,CIN
Seth McLaughlin,C,4,CIN
Lucas Patrick,RG,1,CIN
Cody Ford,RG,2,CIN
Andrew Stueber,RG,3,CIN
Amarius Mims,RT,1,CIN
Jalen Rivers,RT,2,CIN
Caleb Etienne,RT,3,CIN
Joe Burrow,QB,1,CIN
Jake Browning,QB,2,CIN
Desmond Ridder,QB,3,CIN
Payton Thorne,QB,4,CIN
Mike Gesicki,TE,1,CIN
Noah Fant,TE,2,CIN
Drew Sample,TE,3,CIN
Erick All Jr.,TE,4,CIN
Tanner Hudson,TE,5,CIN
Tanner McLachlan,TE,6,CIN
Cam Grandy,TE,7,CIN
Chase Brown,RB,1,CIN
Samaje Perine,RB,2,CIN
Tahj Brooks,RB,3,CIN
Gary Brightwell,RB,4,CIN
Kendall Milton,RB,5,CIN
Quali Conley,RB,6,CIN
Jerry Jeudy,WR,1,CLE
Diontae Johnson,WR,4,CLE
Kaden Davis,WR,7,CLE
Gage Larvadain,WR,10,CLE
Cedric Tillman,WR,2,CLE
David Bell,WR,5,CLE
Cade McDonald,WR,8,CLE
Kisean Johnson,WR,11,CLE
Jamari Thrash,WR,3,CLE
DeAndre Carter,WR,6,CLE
Luke Floriea,WR,9,CLE
Chase Cota,WR,12,CLE
Dawand Jones,LT,1,CLE
Cornelius Lucas,LT,2,CLE
Jason Ivey,LT,3,CLE
Sebastian Gutierrez,LT,4,CLE
Joel Bitonio,LG,1,CLE
Teven Jenkins,LG,2,CLE
Lorenzo Thompson,LG,3,CLE
Dartanyan Tinsley,LG,4,CLE
Ethan Pocic,C,1,CLE
Luke Wypler,C,2,CLE
Bucky Williams,C,3,CLE
Justin Osborne,C,4,CLE
Wyatt Teller,RG,1,CLE
Zak Zinter,RG,2,CLE
Javion Cohen,RG,3,CLE
Jack Conklin,RT,1,CLE
Jackson Barton,RT,2,CLE
Roy Mbaeteka,RT,3,CLE
Kilian Zierer,RT,4,CLE
Jason Ivey,RT,5,CLE
Joe Flacco,QB,1,CLE
Kenny Pickett,QB,2,CLE
Dillon Gabriel,QB,3,CLE
Shedeur Sanders,QB,4,CLE
Tyler Huntley,QB,5,CLE
Deshaun Watson,QB,6,CLE
David Njoku,TE,1,CLE
Harold Fannin Jr.,TE,2,CLE
Blake Whiteheart,TE,3,CLE
Brenden Bates,TE,4,CLE
Sal Cannella,TE,5,CLE
Mitch Van Vooren,TE,6,CLE
Jerome Ford,RB,1,CLE
Quinshon Judkins,RB,2,CLE
Dylan Sampson,RB,3,CLE
Pierre Strong Jr.,RB,4,CLE
Trayveon Williams,RB,5,CLE
Ahmani Marshall,RB,6,CLE
Unknown,RB,7,CLE
CeeDee Lamb,WR,1,DAL
KaVontae Turpin,WR,4,DAL
Jalen Moreno-Cropper,WR,7,DAL
Josh Kelly,WR,10,DAL
George Pickens,WR,2,DAL
Jonathan Mingo,WR,5,DAL
Jalen Brooks,WR,8,DAL
Jalen Tolbert,WR,3,DAL
Ryan Flournoy,WR,6,DAL
Traeshon Holden,WR,9,DAL
Tyler Guyton,LT,1,DAL
Nathan Thomas,LT,2,DAL
Asim Richards,LT,3,DAL
Geron Christian,LT,4,DAL
Tyler Smith,LG,1,DAL
T.J. Bass,LG,2,DAL
Cooper Beebe,C,1,DAL
Dakoda Shepley,C,2,DAL
Brock Hoffman,C,3,DAL
Tyler Booker,RG,1,DAL
Saahdiq Charles,RG,2,DAL
La'el Collins,RG,3,DAL
Robert Jones,RG,4,DAL
Terence Steele,RT,1,DAL
Hakeem Adeniji,RT,2,DAL
Ajani Cornelius,RT,3,DAL
La'el Collins,RT,4,DAL
Matt Waletzko,RT,5,DAL
Dak Prescott,QB,1,DAL
Joe Milton III,QB,2,DAL
Will Grier,QB,3,DAL
Jake Ferguson,TE,1,DAL
Luke Schoonmaker,TE,2,DAL
Brevyn Spann-Ford,TE,3,DAL
John Stephens Jr.,TE,4,DAL
Princeton Fant,TE,5,DAL
Rivaldo Fairweather,TE,6,DAL
Tyler Neville,TE,7,DAL
Javonte Williams,RB,1,DAL
Miles Sanders,RB,2,DAL
Jaydon Blue,RB,3,DAL
Deuce Vaughn,RB,4,DAL
Phil Mafah,RB,5,DAL
Hunter Luepke,FB,1,DAL
Courtland Sutton,WR,1,DEN
Troy Franklin,WR,4,DEN
A.T. Perry,WR,7,DEN
Courtney Jackson,WR,10,DEN
Marvin Mims Jr.,WR,2,DEN
Pat Bryant,WR,5,DEN
Michael Bandy,WR,8,DEN
Jerjuan Newton,WR,11,DEN
Devaughn Vele,WR,3,DEN
Trent Sherfield Sr.,WR,6,DEN
Joaquin Davis,WR,9,DEN
Kyrese White,WR,12,DEN
Garett Bolles,LT,1,DEN
Matt Peart,LT,2,DEN
Frank Crum,LT,3,DEN
Marques Cox,LT,4,DEN
Ben Powers,LG,1,DEN
Calvin Throckmorton,LG,2,DEN
Will Sherman,LG,3,DEN
Luke Wattenberg,C,1,DEN
Alex Forsyth,C,2,DEN
Joe Michalski,C,3,DEN
Quinn Meinerz,RG,1,DEN
Nick Gargiulo,RG,2,DEN
Clay Webb,RG,3,DEN
Mike McGlinchey,RT,1,DEN
Alex Palczewski,RT,2,DEN
Xavier Truss,RT,3,DEN
Bo Nix,QB,1,DEN
Jarrett Stidham,QB,2,DEN
Sam Ehlinger,QB,3,DEN
Evan Engram,TE,1,DEN
Adam Trautman,TE,2,DEN
Nate Adkins,TE,3,DEN
Lucas Krull,TE,4,DEN
Caleb Lohner,TE,5,DEN
Caden Prieskorn,TE,6,DEN
J.K. Dobbins,RB,1,DEN
RJ Harvey,RB,2,DEN
Jaleel McLaughlin,RB,3,DEN
Audric Estime,RB,4,DEN
Tyler Badie,RB,5,DEN
Blake Watson,RB,6,DEN
Michael Burton,FB,1,DEN
Amon-Ra St. Brown,WR,1,DET
Kalif Raymond,WR,4,DET
Tom Kennedy,WR,7,DET
Malik Taylor,WR,10,DET
Jameson Williams,WR,2,DET
Isaac TeSlaa,WR,5,DET
Ronnie Bell,WR,8,DET
Jakobie Keeney-James,WR,11,DET
Tim Patrick,WR,3,DET
Dominic Lovett,WR,6,DET
Jackson Meeks,WR,9,DET
Taylor Decker,LT,1,DET
Dan Skipper,LT,2,DET
Giovanni Manu,LT,3,DET
Justin Herron,LT,4,DET
Christian Mahogany,LG,1,DET
Netane Muti,LG,2,DET
Michael Niese,LG,3,DET
Miles Frazier,LG,4,DET
Graham Glasgow,C,1,DET
Kingsley Eguakun,C,2,DET
Trystan Colon,C,3,DET
Tate Ratledge,RG,1,DET
Kayode Awosika,RG,2,DET
Colby Sorsdal,RG,3,DET
Penei Sewell,RT,1,DET
Jamarco Jones,RT,2,DET
Mason Miller,RT,3,DET
Jared Goff,QB,1,DET
Hendon Hooker,QB,2,DET
Kyle Allen,QB,3,DET
Sam LaPorta,TE,1,DET
Brock Wright,TE,2,DET
Shane Zylstra,TE,3,DET
Kenny Yeboah,TE,4,DET
Zach Horton,TE,5,DET
Jahmyr Gibbs,RB,1,DET
David Montgomery,RB,2,DET
Craig Reynolds,RB,3,DET
Sione Vaki,RB,4,DET
Jabari Small,RB,5,DET
Jacob Saylors,RB,6,DET
Kye Robichaux,RB,7,DET
Jayden Reed,WR,1,GB
Christian Watson,WR,4,GB
Mecole Hardman,WR,7,GB
Cornelius Johnson,WR,10,GB
Sam Brown Jr.,WR,13,GB
Matthew Golden,WR,2,GB
Dontayvion Wicks,WR,5,GB
Malik Heath,WR,8,GB
Isaiah Neyor,WR,11,GB
Romeo Doubs,WR,3,GB
Savion Williams,WR,6,GB
Julian Hicks,WR,9,GB
Unknown,WR,12,GB
Rasheed Walker,LT,1,GB
Jordan Morgan,LT,2,GB
John Williams,LT,3,GB
Brant Banks,LT,4,GB
Aaron Banks,LG,1,GB
Donovan Jennings,LG,2,GB
J.J. Lippe,LG,3,GB
Elgton Jenkins,C,1,GB
Jacob Monk,C,2,GB
Trey Hill,C,3,GB
Lecitus Smith,C,4,GB
Sean Rhyan,RG,1,GB
Tyler Cooper,RG,2,GB
Travis Glover,RG,3,GB
Zach Tom,RT,1,GB
Anthony Belton,RT,2,GB
Kadeem Telfort,RT,3,GB
Jordan Love,QB,1,GB
Malik Willis,QB,2,GB
Sean Clifford,QB,3,GB
Taylor Elgersma,QB,4,GB
Tucker Kraft,TE,1,GB
Luke Musgrave,TE,2,GB
Ben Sims,TE,3,GB
John FitzPatrick,TE,4,GB
Messiah Swinson,TE,5,GB
Johnny Lumpkin,TE,6,GB
Josh Jacobs,RB,1,GB
Emanuel Wilson,RB,2,GB
MarShawn Lloyd,RB,3,GB
Chris Brooks,RB,4,GB
Amar Johnson,RB,5,GB
Jalen White,RB,6,GB
Israel Abanikanda,RB,7,GB
Calvin Ridley,WR,1,TEN
Chimere Dike,WR,4,TEN
James Proche II,WR,7,TEN
Xavier Restrepo,WR,10,TEN
Treylon Burks,WR,13,TEN
Tyler Lockett,WR,2,TEN
Elic Ayomanor,WR,5,TEN
Jha'Quan Jackson,WR,8,TEN
TJ Sheffield,WR,11,TEN
Van Jefferson,WR,3,TEN
Mason Kinsey,WR,6,TEN
Bryce Oliver,WR,9,TEN
Matt Landers,WR,12,TEN
Dan Moore Jr.,LT,1,TEN
Olisaemeka Udoh,LT,2,TEN
Arlington Hambright,LT,3,TEN
John Ojukwu,LT,4,TEN
Peter Skoronski,LG,1,TEN
Jackson Slater,LG,2,TEN
Sam Mustipher,LG,3,TEN
Chandler Brewer,LG,4,TEN
Lloyd Cushenberry III,C,1,TEN
Brenden Jaimes,C,2,TEN
Corey Levin,C,3,TEN
Kevin Zeitler,RG,1,TEN
Blake Hance,RG,2,TEN
Andrew Rupcich,RG,3,TEN
JC Latham,RT,1,TEN
Jaelyn Duncan,RT,2,TEN
Brandon Crenshaw-Dickson,RT,3,TEN
Cameron Ward,QB,1,TEN
Brandon Allen,QB,2,TEN
Tim Boyle,QB,3,TEN
Will Levis,QB,4,TEN
Chig Okonkwo,TE,1,TEN
Gunnar Helm,TE,2,TEN
Josh Whyle,TE,3,TEN
David Martin-Robinson,TE,4,TEN
Thomas Odukoya,TE,5,TEN
Drake Dabney,TE,6,TEN
Tony Pollard,RB,1,TEN
Tyjae Spears,RB,2,TEN
Julius Chestnut,RB,3,TEN
Kalel Mullings,RB,4,TEN
Jordan Mims,RB,5,TEN
Jermar Jefferson,RB,6,TEN
Michael Pittman Jr.,WR,1,IND
Adonai Mitchell,WR,4,IND
Laquon Treadwell,WR,7,IND
Ajou Ajou,WR,10,IND
Tyler Kahmann,WR,13,IND
Josh Downs,WR,2,IND
Ashton Dulin,WR,5,IND
D.J. Montgomery,WR,8,IND
Blayne Taylor,WR,11,IND
Alec Pierce,WR,3,IND
Anthony Gould,WR,6,IND
Coleman Owen,WR,9,IND
Landon Parker,WR,12,IND
Bernhard Raimann,LT,1,IND
Blake Freeland,LT,2,IND
Marshall Foerner,LT,3,IND
Quenton Nelson,LG,1,IND
Josh Sills,LG,2,IND
Mose Vavao,LG,3,IND
Tanor Bortolini,C,1,IND
Danny Pinter,C,2,IND
Wesley French,C,3,IND
Matt Goncalves,RG,1,IND
Dalton Tucker,RG,2,IND
Braden Smith,RT,1,IND
Jalen Travis,RT,2,IND
Luke Tenuta,RT,3,IND
Jack Wilson,RT,4,IND
Anthony Richardson Sr.,QB,1,IND
Daniel Jones,QB,2,IND
Riley Leonard,QB,3,IND
Jason Bean,QB,4,IND
Tyler Warren,TE,1,IND
Mo Alie-Cox,TE,2,IND
Drew Ogletree,TE,3,IND
Will Mallory,TE,4,IND
Jelani Woods,TE,5,IND
Sean McKeon,TE,6,IND
Maximilian Mang,TE,7,IND
Jonathan Taylor,RB,1,IND
DJ Giddens,RB,2,IND
Tyler Goodson,RB,3,IND
Khalil Herbert,RB,4,IND
Salvon Ahmed,RB,5,IND
Ulysses Bentley IV,RB,6,IND
Rashee Rice,WR,1,KC
JuJu Smith-Schuster,WR,4,KC
Tyquan Thornton,WR,7,KC
Mac Dalena,WR,10,KC
Key'Shawn Smith,WR,13,KC
Xavier Worthy,WR,2,KC
Jalen Royals,WR,5,KC
Nikko Remigio,WR,8,KC
Jimmy Holiday,WR,11,KC
Hal Presley,WR,14,KC
Hollywood Brown,WR,3,KC
Skyy Moore,WR,6,KC
Jason Brownlee,WR,9,KC
Elijhah Badger,WR,12,KC
Josh Simmons,LT,1,KC
Wanya Morris,LT,2,KC
Esa Pole,LT,3,KC
Kingsley Suamataia,LG,1,KC
Mike Caliendo,LG,2,KC
Dalton Cooper,LG,3,KC
Creed Humphrey,C,1,KC
Hunter Nourzad,C,2,KC
Unknown,C,3,KC
Trey Smith,RG,1,KC
C.J. Hanson,RG,2,KC
Ethan Driskell,RG,3,KC
Jawaan Taylor,RT,1,KC
Jaylon Moore,RT,2,KC
Chukwuebuka Godrick,RT,3,KC
Patrick Mahomes,QB,1,KC
Gardner Minshew,QB,2,KC
Bailey Zappe,QB,3,KC
Chris Oladokun,QB,4,KC
Travis Kelce,TE,1,KC
Noah Gray,TE,2,KC
Robert Tonyan,TE,3,KC
Jared Wiley,TE,4,KC
Jake Briningstool,TE,5,KC
Geor'Quarius Spivey,TE,6,KC
Tre Watson,TE,7,KC
Isiah Pacheco,RB,1,KC
Kareem Hunt,RB,2,KC
Elijah Mitchell,RB,3,KC
Brashard Smith,RB,4,KC
Elijah Young,RB,5,KC
Keaontay Ingram,RB,6,KC
Carson Steele,FB,1,KC
Jakobi Meyers,WR,1,LV
Jack Bech,WR,4,LV
Tommy Mellott,WR,7,LV
Shedrick Jackson,WR,10,LV
Ketron Jackson Jr.,WR,13,LV
Tre Tucker,WR,2,LV
Alex Bachman,WR,5,LV
Phillip Dorsett II,WR,8,LV
Seth Williams,WR,11,LV
Dont'e Thornton Jr.,WR,3,LV
Collin Johnson,WR,6,LV
Justin Shorter,WR,9,LV
Kawaan Baker,WR,12,LV
Kolton Miller,LT,1,LV
Charles Grant,LT,2,LV
Dalton Wagner,LT,3,LV
Dylan Parham,LG,1,LV
Caleb Rogers,LG,2,LV
Gottlieb Ayedze,LG,3,LV
Atonio Mafi,LG,4,LV
Jackson Powers-Johnson,C,1,LV
Will Putnam,C,2,LV
Jackson Powers-Johnson,RG,1,LV
Alex Cappa,RG,2,LV
Jarrod Hufford,RG,3,LV
Laki Tasi,RG,4,LV
DJ Glaze,RT,1,LV
Thayer Munford Jr.,RT,2,LV
Parker Clements,RT,3,LV
Geno Smith,QB,1,LV
Aidan O'Connell,QB,2,LV
Cam Miller,QB,3,LV
Brock Bowers,TE,1,LV
Michael Mayer,TE,2,LV
Ian Thomas,TE,3,LV
Qadir Ismail,TE,4,LV
Albert Okwuegbunam Jr.,TE,5,LV
Carter Runyon,TE,6,LV
Ashton Jeanty,RB,1,LV
Raheem Mostert,RB,2,LV
Zamir White,RB,3,LV
Sincere McCormick,RB,4,LV
Dylan Laube,RB,5,LV
Chris Collier,RB,6,LV
Puka Nacua,WR,1,LAR
Jordan Whittington,WR,4,LAR
Britain Covey,WR,7,LAR
Brennan Presley,WR,10,LAR
Davante Adams,WR,2,LAR
Konata Mumpfield,WR,5,LAR
Mario Williams,WR,8,LAR
Drake Stoops,WR,11,LAR
Tutu Atwell,WR,3,LAR
Xavier Smith,WR,6,LAR
Tru Edwards,WR,9,LAR
Alaric Jackson,LT,1,LAR
D.J. Humphries,LT,2,LAR
David Quessenberry,LT,3,LAR
Steve Avila,LG,1,LAR
Justin Dedich,LG,2,LAR
Wyatt Bowles,LG,3,LAR
Coleman Shelton,C,1,LAR
Beaux Limmer,C,2,LAR
Willie Lampkin,C,3,LAR
Kevin Dotson,RG,1,LAR
Dylan McMahon,RG,2,LAR
KT Leveston,RG,3,LAR
Ben Dooley,RG,4,LAR
Rob Havenstein,RT,1,LAR
Warren McClendon Jr.,RT,2,LAR
AJ Arcuri,RT,3,LAR
Trey Wedig,RT,4,LAR
Matthew Stafford,QB,1,LAR
Jimmy Garoppolo,QB,2,LAR
Stetson Bennett,QB,3,LAR
Dresser Winn,QB,4,LAR
Tyler Higbee,TE,1,LAR
Terrance Ferguson,TE,2,LAR
Colby Parkinson,TE,3,LAR
Davis Allen,TE,4,LAR
Anthony Torres,TE,5,LAR
Mark Redman,TE,6,LAR
Kyren Williams,RB,1,LAR
Blake Corum,RB,2,LAR
Jarquez Hunter,RB,3,LAR
Ronnie Rivers,RB,4,LAR
Cody Schrader,RB,5,LAR
Jordan Waters,RB,6,LAR
Tyreek Hill,WR,1,MIA
Malik Washington,WR,4,MIA
Tahj Washington,WR,7,MIA
Andrew Armstrong,WR,10,MIA
Jaylen Waddle,WR,2,MIA
Dee Eskridge,WR,5,MIA
Tarik Black,WR,8,MIA
Monaray Baldwin,WR,11,MIA
Nick Westbrook-Ikhine,WR,3,MIA
Erik Ezukanma,WR,6,MIA
Theo Wease Jr.,WR,9,MIA
A.J. Henning,WR,12,MIA
Patrick Paul,LT,1,MIA
Larry Borom,LT,2,MIA
Jalen McKenzie,LT,3,MIA
Germain Ifedi,LT,4,MIA
Obinna Eze,LT,5,MIA
Jonah Savaiinaea,LG,1,MIA
Liam Eichenberg,LG,2,MIA
Jackson Carman,LG,3,MIA
Josh Priebe,LG,4,MIA
Aaron Brewer,C,1,MIA
Andrew Meyer,C,2,MIA
Addison West,C,3,MIA
Daniel Brunskill,C,4,MIA
James Daniels,RG,1,MIA
Daniel Brunskill,RG,2,MIA
Braeden Daniels,RG,3,MIA
Austin Jackson,RT,1,MIA
Kion Smith,RT,2,MIA
Ryan Hayes,RT,3,MIA
Bayron Matos,RT,4,MIA
Tua Tagovailoa,QB,1,MIA
Zach Wilson,QB,2,MIA
Quinn Ewers,QB,3,MIA
Darren Waller,TE,1,MIA
Julian Hill,TE,2,MIA
Pharaoh Brown,TE,3,MIA
Tanner Conner,TE,4,MIA
Hayden Rucci,TE,5,MIA
Jalin Conyers,TE,6,MIA
De'Von Achane,RB,1,MIA
Jaylen Wright,RB,2,MIA
Alexander Mattison,RB,3,MIA
Ollie Gordon II,RB,4,MIA
Alec Ingold,FB,1,MIA
Chris Myarick,FB,2,MIA
Justin Jefferson,WR,1,MIN
Lucky Jackson,WR,4,MIN
Rondale Moore,WR,7,MIN
Thayer Thomas,WR,10,MIN
Silas Bolden,WR,13,MIN
Jordan Addison,WR,2,MIN
Tai Felton,WR,5,MIN
Myles Price,WR,8,MIN
Tim Jones,WR,11,MIN
Jalen Nailor,WR,3,MIN
Jeshaun Jones,WR,6,MIN
Dontae Fleming,WR,9,MIN
Robert Lewis,WR,12,MIN
Christian Darrisaw,LT,1,MIN
Justin Skule,LT,2,MIN
Logan Brown,LT,3,MIN
Unknown,LT,4,MIN
Donovan Jackson,LG,1,MIN
Blake Brandel,LG,2,MIN
Joe Huber,LG,3,MIN
Ryan Kelly,C,1,MIN
Michael Jurgens,C,2,MIN
Zeke Correll,C,3,MIN
Will Fries,RG,1,MIN
Henry Byrd,RG,2,MIN
Brian O'Neill,RT,1,MIN
Walter Rouse,RT,2,MIN
Matt Nelson,RT,3,MIN
Leroy Watson IV,RT,4,MIN
J.J. McCarthy,QB,1,MIN
Sam Howell,QB,2,MIN
Brett Rypien,QB,3,MIN
Max Brosmer,QB,4,MIN
T.J. Hockenson,TE,1,MIN
Josh Oliver,TE,2,MIN
Gavin Bartholomew,TE,3,MIN
Bryson Nesbit,TE,5,MIN
Giovanni Ricci,TE,6,MIN
Nick Vannett,TE,7,MIN
Aaron Jones Sr.,RB,1,MIN
Jordan Mason,RB,2,MIN
Ty Chandler,RB,3,MIN
Zavier Scott,RB,4,MIN
Tre Stewart,RB,5,MIN
C.J. Ham,FB,1,MIN
Stefon Diggs,WR,1,NE
Kayshon Boutte,WR,4,NE
Ja'Lynn Polk,WR,7,NE
John Jiles,WR,10,NE
DeMario Douglas,WR,2,NE
Mack Hollins,WR,5,NE
Javon Baker,WR,8,NE
Jeremiah Webb,WR,11,NE
Kyle Williams,WR,3,NE
Kendrick Bourne,WR,6,NE
Efton Chism III,WR,9,NE
Will Campbell,LT,1,NE
Vederian Lowe,LT,2,NE
Caedan Wallace,LT,3,NE
Cole Strange,LG,1,NE
Layden Robinson,LG,2,NE
Tyrese Robinson,LG,3,NE
Garrett Bradbury,C,1,NE
Ben Brown,C,2,NE
Jared Wilson,C,3,NE
Alec Lindstrom,C,4,NE
Mike Onwenu,RG,1,NE
Sidy Sow,RG,2,NE
Jack Conley,RG,3,NE
Mehki Butler,RG,4,NE
Yasir Durant,RG,5,NE
Morgan Moses,RT,1,NE
Demontrey Jacobs,RT,2,NE
Marcus Bryant,RT,3,NE
Drake Maye,QB,1,NE
Joshua Dobbs,QB,2,NE
Ben Wooldridge,QB,3,NE
Hunter Henry,TE,1,NE
Austin Hooper,TE,2,NE
Jaheim Bell,TE,3,NE
Jack Westover,TE,4,NE
Gee Scott Jr.,TE,5,NE
CJ Dippre,TE,6,NE
Cole Fotheringham,TE,7,NE
Rhamondre Stevenson,RB,1,NE
TreVeyon Henderson,RB,2,NE
Antonio Gibson,RB,3,NE
Terrell Jennings,RB,4,NE
Lan Larison,RB,5,NE
JaMycal Hasty,RB,6,NE
Brock Lampe,FB,1,NE
Chris Olave,WR,1,NO
Bub Means,WR,4,NO
Kevin Austin Jr.,WR,7,NO
Moochie Dixon,WR,10,NO
Rashid Shaheed,WR,2,NO
Cedrick Wilson Jr.,WR,5,NO
Dante Pettis,WR,8,NO
Chris Tyree,WR,11,NO
Brandin Cooks,WR,3,NO
Mason Tipton,WR,6,NO
Donovan Peoples-Jones,WR,9,NO
Kelvin Banks Jr.,LT,1,NO
Landon Young,LT,2,NO
Barry Wesley,LT,3,NO
Trevor Penning,LG,1,NO
Dillon Radunz,LG,2,NO
Torricelli Simpkins III,LG,3,NO
Nick Saldiveri,LG,4,NO
Erik McCoy,C,1,NO
Will Clapp,C,2,NO
Kyle Hergel,C,3,NO
Cesar Ruiz,RG,1,NO
Shane Lemieux,RG,2,NO
Easton Kilty,RG,3,NO
Taliese Fuaga,RT,1,NO
Josiah Ezirim,RT,2,NO
Unknown,RT,3,NO
Spencer Rattler,QB,1,NO
Tyler Shough,QB,2,NO
Jake Haener,QB,3,NO
Hunter Dekkers,QB,4,NO
Juwan Johnson,TE,1,NO
Taysom Hill,TE,2,NO
